trip_duration_days,miles_traveled,total_receipts_amount,reimbursement_amount,cost_per_mile,cost_per_day,receipts_ratio,miles_per_day,miles_traveled_scaled,total_receipts_amount_scaled,trip_duration_days_scaled
3,93.0,1.42,364.51,3.919462365591398,121.50333333333333,0.0038956407231626015,31.0,-1.4365682839627638,-1.629178611916474,-1.03028019748933
1,55.0,3.6,126.06,2.2920000000000003,126.06,0.028557829604950024,55.0,-1.5447921297100764,-1.6262425164137158,-1.5399414378995848
1,47.0,17.97,128.91,2.7427659574468084,128.91,0.13939958110309517,47.0,-1.5675760972358264,-1.606888529085899,-1.5399414378995848
2,13.0,4.67,203.52,15.655384615384616,101.76,0.02294614779874214,6.5,-1.664407959220264,-1.6248014053183248,-1.2851108176944575
3,88.0,5.78,380.37,4.3223863636363635,126.79,0.015195730472960538,29.333333333333332,-1.4508082636663575,-1.6233064209109571,-1.03028019748933
1,76.0,13.74,158.35,2.0835526315789474,158.35,0.08676981370382066,76.0,-1.4849842149549826,-1.61258563182749,-1.5399414378995848
3,41.0,4.52,320.12,7.80780487804878,106.70666666666666,0.01411970511058353,13.666666666666666,-1.5846640728801389,-1.6250034302382395,-1.03028019748933
1,140.0,22.71,199.68,1.4262857142857144,199.68,0.11373197115384616,140.0,-1.3027124747489824,-1.6005045416165982,-1.5399414378995848
3,121.0,21.17,464.07,3.835289256198347,154.69,0.045618117956342796,40.333333333333336,-1.3568243976226388,-1.602578664127721,-1.03028019748933
3,117.0,21.99,359.1,3.0692307692307694,119.7,0.061236424394319124,39.0,-1.3682163813855137,-1.6014742612321882,-1.03028019748933
2,202.0,21.24,356.17,1.7632178217821783,178.085,0.059634444226071816,101.0,-1.12613672642442,-1.6024843858317612,-1.2851108176944575
3,80.0,21.05,366.87,4.585875,122.29,0.057377272603374496,26.666666666666668,-1.4735922311921077,-1.602740284063653,-1.03028019748933
2,21.0,20.04,204.58,9.741904761904763,102.29,0.09795678951999216,10.5,-1.641623991694514,-1.604100585191078,-1.2851108176944575
3,177.0,18.73,430.86,2.434237288135593,143.62,0.04347119714060252,59.0,-1.1973366249423887,-1.6058649361583317,-1.03028019748933
1,141.0,10.15,195.14,1.3839716312056736,195.14,0.05201393871066927,141.0,-1.2998644788082638,-1.6174207615774454,-1.5399414378995848
1,58.0,5.86,117.24,2.0213793103448277,117.24,0.04998294097577619,58.0,-1.5362481418879201,-1.6231986742870026,-1.5399414378995848
1,133.0,8.34,179.06,1.3463157894736841,179.06,0.04657656651401765,133.0,-1.3226484463340138,-1.619858528944415,-1.5399414378995848
1,59.0,8.31,120.65,2.044915254237288,120.65,0.06887691670120183,59.0,-1.5334001459472013,-1.6198989339283978,-1.5399414378995848
2,89.0,13.85,234.2,2.6314606741573034,117.1,0.05913748932536294,44.5,-1.447960267725639,-1.612437480219553,-1.2851108176944575
2,147.0,17.43,325.56,2.2146938775510203,162.78,0.0535385182454847,73.5,-1.2827765031639513,-1.6076158187975913,-1.2851108176944575
5,130.0,306.9,574.1,4.416153846153846,114.82000000000001,0.5345758578644835,26.0,-1.33119243415617,-1.2177481283464384,-0.5206189570790752
5,173.0,1337.9,1443.96,8.346589595375722,288.79200000000003,0.9265492118895261,34.6,-1.2087286087052638,0.17083648786642955,-0.5206189570790752
5,592.0,433.75,869.0,1.4679054054054055,173.8,0.4991369390103567,118.4,-0.015418309544106626,-1.0469023877386767,-0.5206189570790752
5,679.0,476.08,1030.41,1.5175405007363771,206.08200000000002,0.46202967750701174,135.8,0.23235733729842478,-0.9898909553387828,-0.5206189570790752
5,708.0,1129.52,1654.62,2.3370338983050845,330.924,0.6826461664913999,141.6,0.3149492195792686,-0.1098165308789027,-0.5206189570790752
5,261.0,464.94,621.12,2.3797701149425285,124.224,0.7485510046367851,52.2,-0.9581049659220136,-1.0048946727244386,-0.5206189570790752
